flightId,airlineName,flightCode,departureAirportCode,arrivalAirportCode,departureTime,arrivalTime,durationMinutes,price
1,EuroWings,EU,SVO,EIN,2025-09-14 00:48:00,2025-09-14 02:55:00,127,359.91
2,CloudJet,CL,KRK,TEQ,2025-10-12 15:10:00,2025-10-12 18:03:00,173,411.63
3,SkyBridge,SK,KRK,BOJ,2025-09-27 12:38:00,2025-09-27 13:41:00,63,490.74
4,EuroWings,EU,KLV,LED,2025-10-01 07:31:00,2025-10-01 12:16:00,285,119.43
5,EuroWings,EU,ORK,KEF,2025-08-25 04:08:00,2025-08-25 05:19:00,71,279.51
6,EuroWings,EU,VNT,ZRH,2025-08-18 20:21:00,2025-08-18 22:35:00,134,103.7
7,Aetherium Air,AE,KSC,AMS,2025-11-03 17:51:00,2025-11-03 20:59:00,188,60.95
8,NubeAir,NU,KRK,FAE,2025-12-21 11:06:00,2025-12-21 16:01:00,295,74.42
9,Aetherium Air,AE,RMO,PRN,2025-07-30 22:36:00,2025-07-31 02:20:00,224,246.75
10,CloudJet,CL,TIA,BTS,2025-09-02 04:08:00,2025-09-02 05:45:00,97,263.04
11,EuroWings,EU,FAO,PLQ,2025-08-03 13:06:00,2025-08-03 17:30:00,264,306.98
12,EuroWings,EU,VNT,VIE,2025-09-14 20:31:00,2025-09-14 23:03:00,152,331.56
13,EuroWings,EU,ATH,AAL,2025-09-21 14:19:00,2025-09-21 17:01:00,162,137.13
14,SkyBridge,SK,CLJ,RVN,2025-12-29 07:09:00,2025-12-29 11:32:00,263,210.86
15,CloudJet,CL,MAD,VNT,2025-07-23 17:40:00,2025-07-23 18:53:00,73,59.77
16,NubeAir,NU,KFZ,BZY,2025-11-11 11:32:00,2025-11-11 12:48:00,76,390.38
17,NubeAir,NU,BRN,INI,2025-08-12 15:38:00,2025-08-12 19:01:00,203,71.37
18,NubeAir,NU,ZAG,INI,2025-11-28 11:56:00,2025-11-28 15:15:00,199,178.71
19,NubeAir,NU,LJU,TEQ,2025-07-02 15:27:00,2025-07-02 16:27:00,60,449.47
20,CloudJet,CL,LGW,DUB,2025-08-30 17:57:00,2025-08-30 19:11:00,74,376.57
21,SkyBridge,SK,TLL,SOB,2025-07-25 00:47:00,2025-07-25 05:25:00,278,101.79
22,SkyBridge,SK,CRL,GME,2025-09-16 17:11:00,2025-09-16 21:01:00,230,431.6
23,EuroWings,EU,TLL,RMO,2025-07-27 01:54:00,2025-07-27 05:23:00,209,414.58
24,SkyBridge,SK,ZRH,SJJ,2025-10-30 00:45:00,2025-10-30 01:45:00,60,141.51
25,EuroWings,EU,GVA,SOF,2025-08-22 13:00:00,2025-08-22 15:52:00,172,191.69
26,Aetherium Air,AE,LUX,OPO,2025-11-15 18:56:00,2025-11-15 22:34:00,218,96.85
27,EuroWings,EU,BNX,INN,2025-10-11 06:28:00,2025-10-11 09:05:00,157,127.55
28,CloudJet,CL,SNN,BOJ,2025-07-09 00:37:00,2025-07-09 01:53:00,76,341.27
