flightId,seatNumber,seatClass,seatType,seatStatus
1,F6,economy,middle,False
1,E4,business,aisle,True
1,F3,economy,aisle,True
1,A2,business,aisle,False
1,B2,economy,middle,True
1,A1,economy,window,False
1,D2,economy,window,False
1,E5,business,aisle,False
1,E2,economy,window,True
1,F2,economy,middle,True
1,C2,business,aisle,True
1,F1,economy,window,False
1,D1,economy,aisle,False
2,C1,economy,aisle,False
2,D3,economy,window,False
2,D6,economy,aisle,False
2,E1,economy,middle,True
2,B2,business,window,False
2,D1,economy,window,False
2,E3,economy,middle,True
2,A6,economy,middle,False
2,A5,economy,window,True
2,A2,economy,window,False
2,B6,economy,middle,False
2,A4,business,aisle,False
2,B1,economy,aisle,True
2,E2,economy,aisle,False
2,F6,business,window,True
2,F2,economy,window,True
2,F1,economy,middle,False
2,C3,first,middle,True
2,B4,economy,aisle,True
2,C5,economy,aisle,True
2,E5,business,window,True
2,C4,economy,middle,False
2,A1,economy,middle,False
2,C2,economy,aisle,False
3,B6,economy,middle,True
3,E4,economy,window,True
3,B5,economy,middle,True
3,A4,business,aisle,True
3,B3,economy,middle,False
3,D2,economy,window,True
3,D4,business,middle,False
3,F2,economy,window,False
3,E1,business,middle,True
3,C6,economy,window,False
3,C4,business,middle,True
3,E5,economy,aisle,True
3,E2,first,middle,False
3,C5,economy,middle,False
3,F3,economy,aisle,True
3,E6,economy,window,False
3,A6,economy,middle,True
3,E3,business,window,True
3,F1,economy,window,True
3,C1,business,aisle,False
4,D6,economy,aisle,True
4,E5,business,aisle,True
4,D5,economy,window,False
4,E3,economy,aisle,False
4,B6,economy,middle,True
4,F5,economy,aisle,True
4,D2,business,aisle,False
4,B3,economy,middle,True
4,B1,economy,aisle,True
4,E4,economy,window,True
4,D1,economy,middle,True
4,A4,economy,window,False
4,C2,economy,aisle,False
4,C6,economy,window,True
4,C1,economy,window,False
4,C3,business,middle,True
4,A1,economy,window,False
4,C5,first,window,False
4,F4,first,aisle,True
4,B5,first,aisle,False
4,E2,business,window,True
4,E6,economy,aisle,False
4,F3,economy,aisle,False
4,B4,economy,window,True
4,A5,economy,window,True
4,E1,first,middle,False
4,D4,business,window,False
4,F2,economy,middle,True
5,A4,economy,window,False
5,C4,economy,middle,True
5,F4,first,window,False
5,A5,economy,aisle,False
5,F6,economy,aisle,True
5,C3,economy,window,False
5,D1,economy,aisle,True
5,E1,economy,middle,True
5,B6,economy,window,False
5,F2,economy,window,True
5,C1,economy,middle,False
5,B1,economy,middle,True
5,B5,business,aisle,False
5,F3,economy,aisle,True
5,A3,business,aisle,True
5,B3,economy,aisle,False
5,D4,economy,window,True
5,A6,economy,aisle,True
5,A1,business,window,False
5,E6,first,middle,True
5,C5,economy,window,True
5,D5,economy,aisle,True
5,D6,first,aisle,True
6,E5,economy,middle,False
6,D2,economy,middle,False
6,A3,economy,middle,True
6,B4,economy,middle,True
6,A4,economy,window,False
6,F5,business,window,True
6,F6,first,window,False
6,C5,economy,middle,True
6,D3,first,window,True
6,F3,business,middle,True
6,D5,economy,aisle,True
6,E3,economy,aisle,False
6,C2,business,aisle,True
7,E2,economy,aisle,False
7,F5,economy,window,True
7,B5,economy,window,False
7,C4,business,window,False
7,D1,economy,window,True
7,A6,economy,middle,True
7,C6,economy,middle,False
7,B3,economy,window,False
7,D5,first,window,True
7,A1,first,middle,False
7,D6,economy,aisle,True
7,A5,economy,middle,False
7,E1,economy,window,True
7,E5,economy,aisle,True
7,C1,business,window,True
7,F1,economy,middle,False
7,D4,first,aisle,False
7,F3,business,aisle,False
7,A3,economy,window,False
7,B2,economy,aisle,False
7,D3,business,middle,True
8,B6,economy,aisle,False
8,F2,first,window,True
8,E4,economy,middle,False
8,C3,economy,aisle,True
8,D3,business,middle,True
8,D5,economy,middle,True
8,A6,economy,window,False
8,B2,business,window,True
8,C6,business,middle,True
8,D4,economy,window,True
8,A4,business,middle,False
8,F4,economy,middle,False
8,E6,economy,window,False
8,C5,economy,window,False
8,D1,economy,aisle,True
8,B1,economy,aisle,False
8,C1,first,window,True
8,F5,economy,window,False
8,D6,business,window,True
8,F3,economy,window,False
8,C2,economy,aisle,True
8,B3,business,middle,False
8,A1,economy,window,False
8,E5,economy,window,True
8,F6,economy,window,True
8,C4,first,middle,True
8,A5,economy,window,False
8,A3,economy,aisle,True
9,C3,first,aisle,True
9,E2,economy,middle,True
9,D5,economy,aisle,False
9,A1,economy,middle,True
9,D4,economy,window,False
9,D6,business,middle,False
9,F3,business,aisle,True
9,B3,first,window,False
9,A3,first,window,True
9,C4,business,window,True
9,B2,economy,window,True
9,E3,economy,aisle,True
9,A5,first,middle,False
9,F1,economy,aisle,True
9,F5,business,middle,False
9,E5,business,middle,False
9,F4,economy,aisle,True
9,C2,economy,middle,True
9,E1,economy,aisle,True
9,C5,business,window,False
9,F6,business,middle,True
9,D1,first,aisle,True
9,E6,economy,window,True
10,A2,business,window,False
10,F5,business,aisle,True
10,A6,economy,aisle,False
10,E5,economy,window,False
10,A3,economy,middle,True
10,A5,economy,aisle,True
10,C5,economy,window,True
10,B3,business,aisle,False
10,C2,business,aisle,True
10,F2,economy,window,True
10,E4,economy,aisle,False
10,D3,economy,middle,False
10,C6,economy,aisle,True
10,C4,business,aisle,True
10,D6,economy,middle,False
10,C3,economy,middle,False
10,B1,economy,aisle,False
10,F4,economy,aisle,False
11,E6,economy,aisle,True
11,F2,economy,aisle,False
11,E4,economy,middle,False
11,F1,first,aisle,False
11,E5,business,aisle,False
11,F6,economy,middle,True
11,B6,economy,middle,False
11,F4,business,middle,True
11,A3,economy,middle,True
11,B1,economy,window,False
11,C5,economy,middle,True
11,C4,first,aisle,False
11,C3,economy,window,True
11,D4,economy,window,False
11,F5,economy,aisle,True
11,A5,economy,middle,False
11,E3,economy,window,True
11,C6,economy,window,False
11,D5,economy,aisle,False
11,B2,first,aisle,False
11,D6,economy,middle,False
11,B5,economy,middle,False
11,E1,economy,middle,False
11,C1,business,aisle,False
11,D1,economy,aisle,False
11,A1,business,middle,False
11,D3,economy,middle,True
12,B3,first,aisle,False
12,B1,economy,window,False
12,A3,economy,window,False
12,F4,first,aisle,False
12,E6,economy,window,False
12,E1,business,window,True
12,A5,economy,middle,False
12,D4,economy,aisle,True
12,E5,first,middle,False
12,A1,economy,aisle,True
12,F6,economy,window,False
12,E3,business,middle,False
12,D2,economy,aisle,True
12,B4,economy,aisle,False
12,C4,business,middle,False
12,F3,business,middle,False
12,A4,economy,window,True
12,A6,business,middle,True
12,D5,economy,aisle,True
12,C1,business,window,True
12,D6,economy,middle,True
12,B6,economy,aisle,False
12,B2,business,aisle,True
12,D1,first,middle,True
12,B5,economy,middle,False
12,C2,business,window,True
12,E2,economy,aisle,False
12,F1,first,middle,False
12,F2,business,aisle,True
12,C6,economy,window,True
13,A4,economy,aisle,True
13,A2,economy,window,False
13,C4,economy,aisle,True
13,C6,economy,aisle,True
13,F4,economy,aisle,False
13,E5,economy,middle,False
13,E1,economy,aisle,True
13,C3,business,window,True
13,B3,economy,middle,False
13,B1,economy,middle,False
13,D6,business,window,True
13,A5,business,window,True
13,B6,economy,middle,True
13,C1,economy,window,True
13,D4,economy,window,True
13,F2,first,window,False
13,B4,economy,aisle,False
13,A1,business,aisle,False
13,B5,business,window,False
13,E3,economy,window,True
13,D5,economy,aisle,False
13,A3,economy,aisle,False
13,A6,business,middle,False
13,F5,first,aisle,True
13,F3,economy,window,False
14,C3,economy,window,True
14,D5,economy,window,False
14,F3,economy,window,False
14,A4,economy,window,False
14,C2,economy,middle,True
14,F1,economy,window,False
14,D4,business,aisle,False
14,D6,economy,middle,True
14,D3,economy,middle,False
14,B5,economy,middle,False
14,E4,economy,window,True
14,A6,economy,middle,True
14,C5,business,middle,False
14,E5,first,window,False
14,A1,economy,aisle,True
14,E3,economy,window,True
14,E6,economy,window,False
14,C4,business,window,True
14,E2,economy,aisle,True
14,A2,business,aisle,True
14,D1,economy,middle,False
14,B6,economy,window,True
14,C6,economy,aisle,False
14,B3,economy,aisle,False
14,F5,economy,aisle,False
14,B4,business,aisle,True
14,B2,economy,middle,True
14,F4,business,middle,False
15,F3,economy,middle,False
15,F4,economy,window,False
15,C5,business,window,False
15,C6,business,aisle,True
15,B4,economy,aisle,True
15,C3,economy,window,True
15,F6,economy,aisle,True
15,D1,economy,aisle,False
15,B6,first,aisle,True
15,A5,economy,aisle,False
15,D4,business,aisle,False
15,B2,economy,window,False
15,C2,first,window,True
15,A3,business,window,True
15,C4,economy,window,False
15,E5,economy,aisle,True
15,B3,economy,window,True
16,A6,business,window,False
16,B2,economy,window,True
16,A2,economy,aisle,False
16,D5,economy,aisle,True
16,A1,business,window,True
16,F1,business,aisle,False
16,A5,economy,aisle,False
16,F3,business,middle,True
16,E4,economy,window,True
16,E2,economy,aisle,False
16,E6,economy,window,True
16,C6,economy,aisle,False
16,E5,first,middle,False
16,D2,first,middle,False
16,F6,first,window,True
16,F4,business,aisle,False
16,C4,first,window,True
16,B4,economy,aisle,False
16,B5,economy,middle,True
16,B6,economy,window,True
16,D4,economy,middle,False
16,C1,economy,middle,True
16,B3,business,window,False
16,C5,business,aisle,True
16,A3,first,middle,False
16,F5,first,window,True
17,F4,economy,aisle,True
17,D4,economy,middle,False
17,A4,economy,aisle,True
17,B5,economy,window,False
17,E6,economy,middle,False
17,F5,economy,aisle,True
17,F2,economy,aisle,False
17,B6,business,middle,False
17,D2,first,aisle,False
17,D3,economy,middle,True
17,D5,economy,aisle,True
17,A1,business,middle,True
17,C5,business,aisle,False
17,A5,first,window,False
17,C2,economy,middle,False
17,C6,economy,aisle,True
17,E1,economy,middle,False
17,E4,economy,window,False
17,A2,economy,middle,False
18,D4,first,window,False
18,B1,economy,middle,False
18,D2,economy,aisle,False
18,F6,first,aisle,True
18,A3,economy,middle,True
18,B4,economy,aisle,False
18,F4,business,window,True
18,E3,economy,middle,False
18,C3,first,aisle,True
18,A6,economy,window,False
19,D1,economy,middle,False
19,C1,economy,middle,False
19,F6,economy,window,False
19,B1,economy,aisle,True
19,E4,economy,window,False
19,E2,economy,window,False
19,E5,first,middle,False
19,D5,economy,middle,False
19,E1,economy,window,True
19,F5,economy,aisle,True
19,C3,first,window,True
19,B3,business,aisle,False
19,A2,business,window,True
19,F1,first,window,True
19,C6,first,window,True
19,D4,economy,aisle,False
20,F1,business,aisle,False
20,C1,business,middle,True
20,E1,business,aisle,True
20,D5,economy,aisle,False
20,A5,business,aisle,True
20,E2,economy,window,True
20,C5,first,aisle,True
20,E3,economy,middle,False
20,C3,economy,middle,False
20,B6,business,aisle,False
20,F5,economy,middle,False
21,D4,economy,aisle,True
21,E1,economy,window,True
21,F5,business,aisle,False
21,A2,economy,aisle,True
21,A1,economy,window,False
21,D1,business,middle,False
21,C6,economy,middle,False
21,E2,business,window,True
21,D6,business,aisle,False
21,F2,economy,window,False
21,B5,first,aisle,False
21,C4,business,aisle,False
21,E6,economy,aisle,False
21,B1,business,aisle,False
21,C2,first,window,True
22,F6,economy,aisle,False
22,E5,business,middle,False
22,A6,economy,window,True
22,E1,economy,window,True
22,C4,economy,window,True
22,C5,business,middle,False
22,E6,economy,aisle,False
22,D5,economy,aisle,True
22,C3,economy,aisle,True
22,C2,business,middle,True
22,F4,economy,middle,True
22,A3,economy,middle,True
22,B6,economy,aisle,True
22,F2,economy,window,False
22,F5,first,window,False
22,B4,economy,window,True
22,A1,economy,middle,False
22,B5,economy,window,False
22,B3,economy,window,False
22,D6,economy,middle,True
22,E3,economy,aisle,False
22,B1,economy,middle,False
23,E5,economy,middle,False
23,E2,business,aisle,False
23,F2,economy,window,True
23,F6,economy,window,True
23,F5,economy,middle,False
23,E6,economy,middle,False
23,B6,first,window,False
23,E3,economy,window,True
23,C4,economy,window,True
23,D6,economy,middle,False
23,C2,economy,window,True
23,C1,economy,middle,False
23,E1,business,aisle,False
23,B3,business,window,True
23,E4,economy,window,True
23,F3,economy,window,True
23,A2,economy,aisle,True
23,C6,business,aisle,False
23,F1,economy,aisle,True
23,A5,economy,aisle,True
23,A1,economy,aisle,True
24,B2,economy,aisle,False
24,F3,economy,middle,False
24,C5,economy,aisle,False
24,A2,economy,middle,False
24,E2,first,window,False
24,B6,business,middle,True
24,B3,economy,window,True
24,F4,economy,window,True
24,C6,economy,window,False
24,B5,first,window,False
24,E3,first,aisle,True
24,E5,business,middle,False
24,C4,business,middle,False
25,A5,first,window,False
25,E6,economy,aisle,True
25,B4,economy,middle,False
25,D3,economy,middle,False
25,E1,business,window,False
25,E5,economy,window,True
25,A2,economy,aisle,True
25,D5,economy,window,True
25,A4,economy,aisle,False
25,D2,business,middle,True
25,E3,business,aisle,False
25,D6,economy,aisle,True
25,D1,business,window,True
25,E4,economy,middle,False
25,C2,business,middle,False
25,F6,economy,window,False
25,B3,economy,aisle,True
25,D4,economy,window,False
26,E3,economy,window,False
26,C2,economy,window,True
26,C4,economy,window,False
26,F5,economy,window,True
26,D5,economy,window,True
26,A2,business,middle,True
